id;name;wine_type;barcode;brand;company;research_year;vintage;sugar;color;price;price_for;rating_gost;rating;url
1;"
                         Абрау Купаж темный. Вино столовое сухое красное                     ";Красное;4605899002720;Абрау;"ООО ""Лоза""";2020;Без указания года;Сухое;Красное;352;0.75;81.66;4.083;https://rskrf.ru//goods/abrau-kupazh-temnyy-vino-stolovoe-sukhoe-krasnoe-/
2;"
                        Абрау Купаж светлый. Столовое сухое белое                    ";Белое;4605899002737;Абрау;"АО ""Миллеровский Винзавод"" 346130. РФ. Ростовская обл.. Миллеровский р-н.. Миллеровское городское по";2020;Без указания года;Сухое;Белое;352;0.75;77.25;3.863;https://rskrf.ru//goods/abrau-kupazh-svetlyy-stolovoe-sukhoe-beloe-bez-ukazaniya-goda/
3;Абрау-Дюрсо (розовое брют) 2016;Игристое;4607026341818;Абрау-Дюрсо;"ЗАО ""Абрау-Дюрсо""";2018;2016;Брют;Розовое;765;0.75;84.9;4.245;https://rskrf.ru//goods/igristoe-vino-s-zashchishchennym-geograficheskim-ukazaniem-kuban-vyderzhannoe-bryut-rozovoe-premium-/
4;Абрау-Дюрсо Victor Dravigny игристое выдержанное брют белое «Премиум». Вино с ЗГУ «Кубань»  2017;Игристое;4607026341795;Абрау-Дюрсо;"ЗАО ""Абрау-Дюрсо""";2020;2017;Брют;Белое;775;0.75;83.83;4.192;https://rskrf.ru//goods/abrau-dyurso-victor-dravigny-igristoe-vyderzhannoe-bryut-beloe-premium-vino-s-zgu-kuban-2017/
5;Абрау-Дюрсо Victor Dravigny игристое выдержанное полусухое белое «Премиум». Вино с ЗГУ «Кубань»  2017;Игристое;4607026341832;Абрау-Дюрсо;"ЗАО ""Абрау-Дюрсо""";2020;2017;Полусухое;Белое;775;0.75;83;4.150;https://rskrf.ru//goods/abrau-dyurso-victor-dravigny-igristoe-vyderzhannoe-polusukhoe-beloe-premium-vino-s-zgu-kuban-2017/
6;Виктор Дравиньи. классика. брют белое игристое 2016;Игристое;4607026341795;Абрау-Дюрсо;;2019;2016;Брют;Белое;615;0.75;82.87;4.144;https://rskrf.ru//goods/viktor-dravini-klassika-bryut-beloe-igristoe-2016/
7;Абрау-Дюрсо Victor Dravigny игристое выдержанное брют розовое «Премиум». Вино с ЗГУ «Кубань»  2017;Игристое;4607026341818;Абрау-Дюрсо;"ЗАО ""Абрау-Дюрсо""";2020;2017;Брют;Розовое;775;0.75;82.55;4.128;https://rskrf.ru//goods/abrau-dyurso-victor-dravigny-igristoe-vyderzhannoe-bryut-rozovoe-premium-vino-s-zgu-kuban-2017/
8;Абрау-Дюрсо Victor Dravigny игристое выдержанное полусладкое белое «Премиум». Вино с ЗГУ «Кубань»  2017;Игристое;4607026342082;Абрау-Дюрсо;"ЗАО ""Абрау-Дюрсо""";2020;2017;Полусладкое;Белое;775;0.75;81.6;4.080;https://rskrf.ru//goods/abrau-dyurso-victor-dravigny-igristoe-vyderzhannoe-polusladkoe-beloe-premium-vino-s-zgu-kuban-2017/
9;Виктор Дравиньи. классика. полусухое белое игристое 2016;Игристое;4607026341832;Абрау-Дюрсо;;2019;2016;Полусухое;Белое;615;0.75;81.48;4.074;https://rskrf.ru//goods/viktor-dravini-klassika-polusukhoe-beloe-igristoe-2016/
10;Абрау-Дюрсо Victor Dravigny игристое выдержанное полусладкое красное «Премиум Каберне». Вино с ЗГУ «Кубань» 2016;Игристое;4607026341849;Абрау-Дюрсо;"ЗАО ""Абрау-Дюрсо""";2020;2016;Полусладкое;Красное;599;0.75;80.9;4.045;https://rskrf.ru//goods/abrau-dyurso-victor-dravigny-igristoe-vyderzhannoe-polusladkoe-krasnoe-premium-kaberne-vino-s-zgu-ku/
11;"
                        Абрау-Дюрсо игристое полусладкое красное. Вино с ЗГУ «Кубань»                     ";Игристое;4607026341863;Абрау-Дюрсо;"ЗАО ""Абрау-Дюрсо""";2020;Без указания года;Полусладкое;Красное;439;0.75;80.8;4.040;https://rskrf.ru//goods/abrau-dyurso-igristoe-polusladkoe-krasnoe-vino-s-zgu-kuban-/
12;Виктор Дравиньи. классика. брют розовое игристое  2016;Игристое;4607026341818;Абрау-Дюрсо;;2019;2016;Брют;Розовое;680;0.75;79.22;3.962;https://rskrf.ru//goods/viktor-dravini-klassika-bryut-rozovoe-igristoe-2016/
13;Виктор Дравиньи. вино игристое полусладкое белое  2016;Игристое;4607026342082;Абрау-Дюрсо;;2019;2016;Полусладкое;Белое;765;0.75;79;3.950;https://rskrf.ru//goods/viktor-dravini-vino-igristoe-polusladkoe-beloe-2016/
14;Абрау-Дюрсо (полусухое белое) 2015;Игристое;4607026341832;Абрау-Дюрсо;"ЗАО ""Абрау-Дюрсо""";2018;2015;Полусухое;Белое;784;0.75;78.34;3.917;https://rskrf.ru//goods/igristoe-vino-s-zashchishchennym-geograficheskim-ukazaniem-kuban-vyderzhannoe-polusukhoe-beloe-premi/
15;"
                        Адагум Красностоп. Вино с ЗГУ «Кубань». Сухое красное                      ";Красное;4620012636446;Адагум;"ООО ""Олимп""";2020;Без указания года;Сухое;Красное;202;0.75;81.08;4.054;https://rskrf.ru//goods/adagum-krasnostop-vino-s-zgu-kuban-sukhoe-krasnoe-/
16;Адагум Пино-Нуар. Вино с ЗГУ «Кубань». Сухое красное  2019;Красное;4620012637566;Адагум;"ООО ""Олимп""";2020;2019;Сухое;Красное;370;0.75;80.41;4.021;https://rskrf.ru//goods/adagum-pino-nuar-vino-s-zgu-kuban-sukhoe-krasnoe-2019/
17;Саперави. вино сухое красное. ЗГУ «Кубань» 2018;Красное;4620012636453;Адагум;;2019;2018;Сухое;Красное;344;0.75;80.28;4.014;https://rskrf.ru//goods/adagum-saperavi-vino-zgu-kuban-sukhoe-krasnoe-2018/
18;Красностоп. вино сухое красное. ЗГУ «Кубань» 2018;Красное;4620012636446;Адагум;;2019;2018;Сухое;Красное;320;0.75;79.1;3.955;https://rskrf.ru//goods/adagum-krasnostop-vino-zgu-kuban-sukhoe-krasnoe-2018/
19;Каберне Совиньон. вино сухое красное с ЗГУ «Кубань»  2018;Красное;4620012636439;Адагум;;2019;2018;Сухое;Красное;303;0.75;77.5;3.875;https://rskrf.ru//goods/kaberne-sovinon-vino-sukhoe-krasnoe-s-zgu-kuban-2018/
20;Адагум Шардоне. Вино с ЗГУ «Кубань». Сухое белое 2018;Белое;4620012636460;Адагум;"ООО ""Олимп"" Россия. 353357. Краснодарский край. Крымский район. хутор Павловский. ул. Дорожная. д.1";2020;2018;Сухое;Белое;350;0.75;78.82;3.941;https://rskrf.ru//goods/adagum-shardone-vino-s-zgu-kuban-sukhoe-beloe-2018-bez-ukazaniya-goda/
21;"
                        Адагум Совиньон. Вино с ЗГУ «Кубань». Сухое белое                      ";Белое;4620012637535;Адагум;"ООО ""Олимп""";2020;Без указания года;Сухое;Белое;370;0.75;77.99;3.900;https://rskrf.ru//goods/adagum-sovinon-vino-s-zgu-kuban-sukhoe-beloe-bez-ukazaniya-goda/
22;"
                        Саперави. Коллекция                     ";Красное;4606285009989;Анжелика Варум;;2019;Без указания года;Сухое;Красное;400;0.75;77.33;3.867;https://rskrf.ru//goods/saperavi-kollektsiya-/
23;"
                        Каберне Совиньон. Коллекция                     ";Красное;4606285009972;Анжелика Варум;;2019;Без указания года;Сухое;Красное;400;0.75;74.9;3.745;https://rskrf.ru//goods/kaberne-sovinon-kollektsiya-/
24;"
                        Шардоне коллекция. вино столовое сухое белое                     ";Белое;4606285009958;Анжелика Варум;;2019;Без указания года;Сухое;Белое;400;0.75;77.36;3.868;https://rskrf.ru//goods/shardone-kollektsiya-vino-stolovoe-sukhoe-beloe-/
25;"
                        Молодое игристое белое сухое вино. ЗГУ «Кубань. Таманский полуостров»                     ";Игристое;4606285009088;Анжелика Варум;;2019;Без указания года;Сухое;Белое;400;0.75;82.77;4.139;https://rskrf.ru//goods/molodoe-igristoe-beloe-sukhoe-vino-zgu-kuban-tamanskiy-poluostrov-/
26;"
                        Российское шампанское. брют белое                     ";Игристое;4606285006827;Анжелика Варум;;2019;Без указания года;Брют;Белое;400;0.75;76.01;3.801;https://rskrf.ru//goods/rossiyskoe-shampanskoe-bryut-beloe--303782/
27;"
                        Бахтовое. красное полусладкое                     ";Красное;4600068043313;Бахтовое;;2019;Без указания года;Полусладкое;Красное;144;0.75;76.1;3.805;https://rskrf.ru//goods/bakhtovoe-krasnoe-polusladkoe-/
28;"
                        Бахтовое. белое полусладкое                     ";Белое;4600068043320;Бахтовое;;2019;Без указания года;Полусладкое;Белое;144;0.75;72;3.600;https://rskrf.ru//goods/bakhtovoe-beloe-polusladkoe-/
29;Бюрнье. Мерло. вино столовое сухое красное  2014;Красное;4640016680344;Бюрнье;;2019;2014;Сухое;Красное;693;0.75;72.9;3.645;https://rskrf.ru//goods/byurne-merlo-vino-stolovoe-sukhoe-krasnoe-2014/
30;Бюрнье. Люблю. вино столовое сухое белое  2014;Белое;4640016680368;Бюрнье;;2019;2014;Сухое;Белое;601;0.75;76.21;3.811;https://rskrf.ru//goods/byurne-lyublyu-vino-stolovoe-sukhoe-beloe-2014/
31;Бюрнье Розе. вино сухое розовое с ЗГУ «Кубань. Новороссийск»  2016;Розовое;4640016680290;Бюрнье;;2019;2016;Сухое;Розовое;792;0.75;80.99;4.050;https://rskrf.ru//goods/byurne-roze-vino-sukhoe-rozovoe-s-zgu-kuban-novorossiysk-2016/
32;Бюрнье Мерло. Вино с ЗГУ «Кубань. Новороссийск». Сухое красное выдержанное 2016;Красное;4640016680399;Бюрнье;"ООО ""ГРАНД-ВИНО""";2020;2016;Сухое;Красное;860;0.75;76.25;3.813;https://rskrf.ru//goods/byurne-merlo-vino-s-zgu-kuban-novorossiysk-sukhoe-krasnoe-vyderzhannoe-2016/
33;Бюрнье #ДляТебя. вино столовое сухое белое 2015;Белое;4640016680153;Бюрнье;;2019;2015;Сухое;Белое;506;0.75;82.67;4.134;https://rskrf.ru//goods/byurne-dlyatebya-stolovoe-sukhoe-beloe-2015/
34;Хороший год. вино столовое полусухое розовое 2015;Розовое;4623722926074;Валерий Захарьин;;2019;2015;Полусухое;Розовое;393;0.75;73.97;3.699;https://rskrf.ru//goods/khoroshiy-god-vino-stolovoe-polusukhoe-rozovoe-2015/
35;"
                        Кагор серии Бухта Омега. винный напиток сладкий                      ";Ликерное;4623721616358;Валерий Захарьин;;2019;Без указания года;Сладкое;Красное;495;0.75;82.66;4.133;https://rskrf.ru//goods/kagor-serii-bukhta-omega-vinnyy-napitok-sladkiy-/
36;"
                        Саперави-Каберне Совиньон «Баккал Су»                     ";Красное;4623721665646;Валерий Захарьин;ИНТЕРФИН ООО;2018;Без указания года;Сухое;Красное;743;0.75;83.78;4.189;https://rskrf.ru//goods/vino-stolovoe-sukhoe-krasnoe-saperavi-kaberne-sovinon-serii-bakkal-su/
37;Alma Hills Каберне Совиньон. вино столовое сухое красное 2018;Красное;4623722077110;Валерий Захарьин;;2019;2018;Сухое;Красное;460;0.75;81.34;4.067;https://rskrf.ru//goods/valeriy-zakharin-alma-hills-kaberne-sovinon-vino-stolovoe-sukhoe-krasnoe-2018/
38;"
                        Саперави – Бастардо – Каберне Совиньон «Баккал Су»                     ";Красное;4623721665653;Валерий Захарьин;ИНТЕРФИН ООО;2018;Без указания года;Полусладкое;Красное;743;0.75;80.86;4.043;https://rskrf.ru//goods/vino-stolovoe-polusladkoe-krasnoe-saperavi-bastardo-kaberne-sovinon-serii-bakkal-su/
39;Хороший год Каберне – вино столовое сухое красное 2018;Красное;4623722078452;Валерий Захарьин;;2019;2018;Сухое;Красное;499;0.75;80.21;4.011;https://rskrf.ru//goods/valeriy-zakharin-khoroshiy-god-kaberne-vino-stolovoe-sukhoe-krasnoe-2018/
40;Баккал Су Саперави Каберне Совиньон. вино столовое сухое красное 2018;Красное;4623721665646;Валерий Захарьин;;2019;2018;Сухое;Красное;969;0.75;80.2;4.010;https://rskrf.ru//goods/valeriy-zakharin-bakkal-su-saperavi-kaberne-sovinon-vino-stolovoe-sukhoe-krasnoe-2018/
41;Хороший год Бастардо. вино столовое сухое красное 2018;Красное;4623721670879;Валерий Захарьин;;2019;2018;Сухое;Красное;422;0.75;79.3;3.965;https://rskrf.ru//goods/valeriy-zakharin-khoroshiy-god-bastardo-vino-stolovoe-sukhoe-krasnoe-2018/
42;Баккал Су Саперави Бастардо Каберне Совиньон. вино столовое полусладкое красное 2018;Красное;4623721665653;Валерий Захарьин;;2019;2018;Полусладкое;Красное;864;0.75;78.66;3.934;https://rskrf.ru//goods/valeriy-zakharin-bakkal-su-saperavi-bastardo-kaberne-sovinon-vino-stolovoe-polusladkoe-krasnoe-2018/
43;Каберне «Хороший год» 2017;Красное;4623722078452;Валерий Захарьин;ИНТЕРФИН ООО;2018;2017;Сухое;Красное;342;0.75;78.6;3.930;https://rskrf.ru//goods/vino-stolovoe-sukhoe-krasnoe-kaberne-serii-khoroshiy-god/
44;Бухта Омега Каберне. вино столовое сухое красное 2018;Красное;4623721616327;Валерий Захарьин;;2019;2018;Сухое;Красное;390;0.75;78.44;3.923;https://rskrf.ru//goods/valeriy-zakharin-bukhta-omega-kaberne-vino-stolovoe-sukhoe-krasnoe-2018/
45;Бухта Омега. Пино Нуар. вино столовое полусладкое красное  2018;Красное;4623721616334;Валерий Захарьин;;2019;2018;Полусладкое;Красное;432;0.75;76.16;3.808;https://rskrf.ru//goods/bukhta-omega-pino-nuar-vino-stolovoe-polusladkoe-krasnoe-2018/
46;Хороший год. Саперави. вино столовое сухое красное  2018;Красное;4623721670862;Валерий Захарьин;;2019;2018;Сухое;Красное;460;0.75;75.7;3.785;https://rskrf.ru//goods/khoroshiy-god-saperavi-vino-stolovoe-sukhoe-krasnoe-2018/
47;Хороший год. Пино Нуар. вино столовое полусладкое красное  2017;Красное;4623721338045;Валерий Захарьин;;2019;2017;Полусладкое;Красное;432;0.75;75.46;3.773;https://rskrf.ru//goods/khoroshiy-god-pino-nuar-vino-stolovoe-polusladkoe-krasnoe-2017/
48;Мускат «Хороший год» 2017;Белое;4623721338007;Валерий Захарьин;ИНТЕРФИН ООО;2018;2017;Полусладкое;Белое;342;0.75;83.17;4.159;https://rskrf.ru//goods/vino-stolovoe-polusladkoe-beloe-muskat-serii-khoroshiy-god/
49;Баккал Су Мускат Оттонель. вино столовое полусладкое белое 2018;Белое;4623721665622;Валерий Захарьин;;2019;2018;Полусладкое;Белое;769;0.75;80.8;4.040;https://rskrf.ru//goods/valeriy-zakharin-bakkal-su-muskat-ottonel-stolovoe-polusladkoe-2018/
50;Алиготе «Хороший год» 2017;Белое;4623722078476;Валерий Захарьин;ИНТЕРФИН ООО;2018;2017;Сухое;Белое;342;0.75;80.36;4.018;https://rskrf.ru//goods/vino-stolovoe-sukhoe-beloe-aligote-serii-khoroshiy-god/
51;Хороший год Мускат. вино столовое полусладкое белое  2018;Белое;4623721338007;Валерий Захарьин;;2019;2018;Полусладкое;Белое;412;0.75;79.44;3.972;https://rskrf.ru//goods/valeriy-zakharin-khoroshiy-god-muskat-stolovoe-polusladkoe-beloe-2018/
52;"
                        Алиготе «Баккал Су»                     ";Белое;4623721665639;Валерий Захарьин;ИНТЕРФИН ООО;2018;Без указания года;Сухое;Белое;602;0.75;78;3.900;https://rskrf.ru//goods/vino-stolovoe-sukhoe-beloe-aligote-serii-bakkal-su/
53;Хороший год. Алиготе. вино столовое сухое белое 2018;Белое;4623722078476;Валерий Захарьин;;2019;2018;Сухое;Белое;441;0.75;77.5;3.875;https://rskrf.ru//goods/khoroshiy-god-aligote-vino-stolovoe-sukhoe-beloe-2018/
54;Хороший год. Совиньон. вино столовое сухое белое  2016;Белое;4623722078469;Валерий Захарьин;;2019;2016;Сухое;Белое;374;0.75;77.01;3.851;https://rskrf.ru//goods/khoroshiy-god-sovinon-vino-stolovoe-sukhoe-beloe-2016/
55;Alma Hills. Мускат. вино столовое полусладкое белое  2016;Белое;4623722077127;Валерий Захарьин;;2019;2016;Полусладкое;Белое;451;0.75;76.5;3.825;https://rskrf.ru//goods/alma-hills-muskat-vino-stolovoe-polusladkoe-beloe-2016/
56;Бухта Омега. Совиньон. вино столовое сухое белое  2017;Белое;4623721616310;Валерий Захарьин;;2019;2017;Сухое;Белое;390;0.75;76.12;3.806;https://rskrf.ru//goods/bukhta-omega-sovinon-vino-stolovoe-sukhoe-beloe-2017/
57;Бухта Омега. Мускат. вино столовое полусладкое белое 2017;Белое;4623721616341;Валерий Захарьин;;2019;2017;Полусладкое;Белое;432;0.75;75.83;3.792;https://rskrf.ru//goods/bukhta-omega-muskat-vino-stolovoe-polusladkoe-beloe-2017/
58;Alma Hills. Алиготе. вино столовое сухое белое 2017;Белое;4623722077103;Валерий Захарьин;;2019;2017;Сухое;Белое;451;0.75;74.36;3.718;https://rskrf.ru//goods/alma-hills-aligote-vino-stolovoe-sukhoe-beloe-2017/
59;Кокур. вино игристое брют белое. автохтонное вино Крыма 2018;Игристое;4623721433306;Валерий Захарьин;;2019;2018;Брют;Белое;460;0.75;81.7;4.085;https://rskrf.ru//goods/kokur-vino-igristoe-bryut-beloe-avtokhtonnoe-vino-kryma-2018/
60;Вина Ведерниковъ Губернаторское Каберне. Вино географического наименования Ведерниковское сухое красное  2018;Красное;4605899002805;Ведерниковъ;"АО ""Миллеровский Винзавод""";2020;2018;Сухое;Красное;649;0.75;80.55;4.028;https://rskrf.ru//goods/vina-vedernikov-gubernatorskoe-kaberne-vino-geograficheskogo-naimenovaniya-vedernikovskoe-sukhoe-kra/
61;Вина Ведерниковъ Губернаторское Голубок. Вино географического наименования Ведерниковское сухое красное 2018;Красное;4605899002799;Ведерниковъ;"АО ""Миллеровский Винзавод""";2020;2018;Сухое;Красное;299;0.75;80.53;4.027;https://rskrf.ru//goods/vina-vedernikov-gubernatorskoe-golubok-vino-geograficheskogo-naimenovaniya-vedernikovskoe-sukhoe-kra/
62;Ведерниковъ Губернаторское розовое. вино географического наименования Ведерниковское розовое сухое   2017;Розовое;4605899002812;Ведерниковъ;"АО ""Миллеровский Винзавод""";2020;2017;Сухое;Розовое;568;0.75;79.41;3.971;https://rskrf.ru//goods/vedernikov-gubernatorskoe-rozovoe-vino-geograficheskogo-naimenovaniya-vedernikovskoe-rozovoe-sukhoe-/
63;Семигорье. Совиньон блан. вино сухое белое с ЗГУ «Кубань. Новороссийск» 2016;Белое;4670014340254;Вилла Виктория;;2019;2016;Сухое;Белое;829;0.75;69.8;3.490;https://rskrf.ru//goods/semigore-sovinon-blan-vino-sukhoe-beloe-s-zgu-kuban-novorossiysk-2016/
64;Каберне Совиньон. вино сухое красное. ЗГУ «Долина Дона»  2014;Красное;4630016400684;Вилла Звезда;;2019;2014;Сухое;Красное;500;0.75;83.67;4.184;https://rskrf.ru//goods/villa-zvezda-kaberne-sovinon-vino-zgu-dolina-dona-sukhoe-krasnoe-2014/
65;Мерло. вино сухое красное. ЗГУ «Долина Дона»  2014;Красное;4630016400721;Вилла Звезда;;2019;2014;Сухое;Красное;355;0.75;81.59;4.080;https://rskrf.ru//goods/villa-zvezda-merlo-vino-zgu-dolina-dona-sukhoe-krasnoe-2014/
66;Гранд Резерв Атаман Саперави Северный. вино полусухое красное. ЗГУ «Долина Дона»  2018;Красное;4630016401308;Вилла Звезда;;2019;2018;Полусухое;Красное;861;0.75;81;4.050;https://rskrf.ru//goods/villa-zvezda-grand-rezerv-ataman-saperavi-severnyy-vino-zgu-dolina-dona-polusukhoe-krasnoe-2018/
67;Купаж 3. вино столовое полусладкое красное 2017;Красное;4630016401162;Вилла Звезда;;2019;2017;Полусладкое;Красное;424;0.75;79.42;3.971;https://rskrf.ru//goods/villa-zvezda-kupazh-3-vino-stolovoe-polusladkoe-krasnoe-2017/
68;"
                        Вилла Звезда Мерло. Вино с ЗГУ «Долина Дона». Сухое красное                      ";Красное;4630016401384;Вилла Звезда;"ООО ""Вилла Звезда"". Россия. 346663. Ростовская обл.. Мартыновский р-н. хутор Малая Мартыновка. ул. А";2020;Без указания года;Сухое;Красное;729;0.75;79.2;3.960;https://rskrf.ru//goods/villa-zvezda-merlo-vino-s-zgu-dolina-dona-sukhoe-krasnoe-/
69;Каберне Совиньон Цимлянский Черный. вино сухое красное. ЗГУ «Долина Дона»  2017;Красное;4630016401148;Вилла Звезда;;2019;2017;Сухое;Красное;424;0.75;79;3.950;https://rskrf.ru//goods/villa-zvezda-kaberne-sovinon-tsimlyanskiy-chernyy-vino-zgu-dolina-dona-sukhoe-krasnoe-2017/
70;Гранд Резерв. Атаман Красностоп. вино сухое красное. географического указания  2017;Красное;4630016401186;Вилла Звезда;;2019;2017;Сухое;Красное;829;0.75;74.59;3.730;https://rskrf.ru//goods/grand-rezerv-ataman-krasnostop-vino-sukhoe-krasnoe-geograficheskogo-ukazaniya-2017/
71;Сибирьковый. вино сухое белое. ЗГУ «Долина Дона» 2015;Белое;4630016400769;Вилла Звезда;;2019;2015;Сухое;Белое;325;0.75;82.01;4.101;https://rskrf.ru//goods/villa-zvezda-sibirkovyy-vino-zgu-dolina-dona-sukhoe-beloe-2015/
72;Рислинг. вино сухое белое. ЗГУ «Долина Дона» 2015;Белое;4630016400783;Вилла Звезда;;2019;2015;Сухое;Белое;355;0.75;81.01;4.051;https://rskrf.ru//goods/villa-zvezda-risling-vino-zgu-dolina-dona-sukhoe-beloe-2015/
73;"
                        Вилла Звезда. Вино с ЗГУ «Долина Дона». Полусладкое белое Шардоне                    ";Белое;4630016401407;Вилла Звезда;"ООО ""Вилла Звезда""";2020;Без указания года;Полусладкое;Белое;299;0.75;78.08;3.904;https://rskrf.ru//goods/villa-zvezda-vino-s-zgu-dolina-dona-polusladkoe-beloe-shardone-bez-ukazaniya-goda/
74;Совиньон Блан. вино сухое белое с ЗГУ «Долина Дона» 2015;Белое;4630016400707;Вилла Звезда;;2019;2015;Сухое;Белое;400;0.75;74.02;3.701;https://rskrf.ru//goods/sovinon-blan-vino-sukhoe-beloe-s-zgu-dolina-dona-2015/
75;"
                        Вилла Звезда. Вино с ЗГУ «Долина Дона». Сухое белое Сибирьковый рислинг                    ";Белое;4630016401360;Вилла Звезда;"ООО ""Вилла Звезда""";2020;Без указания года;Сухое;Белое;615;0.75;73.56;3.678;https://rskrf.ru//goods/villa-zvezda-vino-s-zgu-dolina-dona-sukhoe-beloe-sibirkovyy-risling-bez-ukazaniya-goda/
76;Шардоне. вино сухое белое с ЗГУ «Долина Дона» 2015;Белое;4630016400745;Вилла Звезда;;2019;2015;Сухое;Белое;300;0.75;64;3.200;https://rskrf.ru//goods/shardone-vino-sukhoe-beloe-s-zgu-dolina-dona-2015/
77;"
                        Вилла Звезда Пино нуар. вино с ЗГУ «Долина Дона» розовое полусухое                        ";Розовое;4630016401483;Вилла Звезда;"ООО ""Вилла Звезда""";2020;Без указания года;Полусухое;Розовое;324;0.75;75.9;3.795;https://rskrf.ru//goods/villa-zvezda-pino-nuar-vino-s-zgu-dolina-dona-rozovoe-polusukhoe-/
78;"
                        Terra-egos игристое полусладкое белое. Вино с ЗГУ «Крым»                      ";Игристое;4630035543942;Винный дом Фотисаль;"ООО ""Винный Дом Фотисаль""";2020;Без указания года;Полусладкое;Белое;261;0.75;73.5;3.675;https://rskrf.ru//goods/terra-egos-igristoe-polusladkoe-beloe-vino-s-zgu-krym-/
79;Agora серии Резерв Яхтинг Саперави. Вино с ЗГУ «Крым». Сухое красное  2018;Красное;4607937650122;Винный дом Фотисаль;"ООО ""Винный Дом Фотисаль""";2020;2018;Сухое;Красное;558;0.75;77.5;3.875;https://rskrf.ru//goods/agora-serii-rezerv-yakhting-saperavi-vino-s-zgu-krym-sukhoe-krasnoe-2018/
80;Рислинг. вино полусухое белое. ЗГУ «Крым» 2018;Белое;4623721249525;Винный дом Фотисаль;;2019;2018;Полусухое;Белое;352;0.75;79.82;3.991;https://rskrf.ru//goods/agora-risling-vino-zgu-krym-polusukhoe-beloe-2018/
81;Крымское Избранное Мерло. вино столовое сухое красное 2016;Красное;4670015957741;Винный дом Фотисаль;;2019;2016;Сухое;Красное;595;0.75;81.11;4.056;https://rskrf.ru//goods/vinnyy-dom-fotisal-krymskoe-izbrannoe-merlo-vino-stolovoe-sukhoe-krasnoe-2016/
82;Крымское Избранное Каберне Фран. вино столовое сухое красное 2017;Красное;4670015957703;Винный дом Фотисаль;;2019;2017;Сухое;Красное;555;0.75;80.56;4.028;https://rskrf.ru//goods/vinnyy-dom-fotisal-krymskoe-izbrannoe-kaberne-fran-vino-stolovoe-sukhoe-krasnoe-2017/
83;"
                        Выдержанные вина. Мускат черный. вино сладкое красное                     ";Красное;4623721125058;Винный дом Фотисаль;;2019;Без указания года;Сладкое;Красное;412;0.75;80.5;4.025;https://rskrf.ru//goods/vinnyy-dom-fotisal-agora-vyderzhannye-vina-muskat-chernyy-vino-sladkoe-krasnoe-2018/
84;Agora. Каберне-Совиньон. вино столовое сухое красное  2017;Красное;4623721249464;Винный дом Фотисаль;;2019;2017;Сухое;Красное;489;0.75;75.61;3.781;https://rskrf.ru//goods/agora-kaberne-sovinon-vino-stolovoe-sukhoe-krasnoe-2017/
85;Крымское Избранное. Совиньон. вино столовое сухое белое 2017;Белое;4670015957765;Винный дом Фотисаль;;2019;2017;Сухое;Белое;590;0.75;76.12;3.806;https://rskrf.ru//goods/krymskoe-izbrannoe-sovinon-vino-stolovoe-sukhoe-beloe-2017/
86;Сокровища Крыма. Молодые вина Шардоне. вино столовое сухое белое  2018;Белое;4630035541580;Винный дом Фотисаль;;2019;2018;Сухое;Белое;299;0.75;70.58;3.529;https://rskrf.ru//goods/sokrovishcha-kryma-molodye-vina-shardone-vino-stolovoe-sukhoe-beloe-2018/
87;"
                        Сокровища Крыма. Мускат. сладкое белое                     ";Ликерное;4670015955167;Винный дом Фотисаль;;2019;Без указания года;Сладкое;Белое;216;0.75;74.5;3.725;https://rskrf.ru//goods/sokrovishcha-kryma-muskat-sladkoe-beloe-/
88;"
                        Сокровища Крыма. вино игристое. полусладкое белое. ЗГУ «Крым»                     ";Игристое;4670015958557;Винный дом Фотисаль;;2019;Без указания года;Полусладкое;Белое;780;0.75;72.67;3.634;https://rskrf.ru//goods/sokrovishcha-kryma-vino-igristoe-polusladkoe-beloe-zgu-krym-/
89;"
                        Цитронный Магарача Моносортовые вина. сухое белое. ЗГУ «Кубань. Таманский полуостров»                      ";Белое;4600068039866;Вино Таманского полуострова;;2019;Без указания года;Сухое;Белое;159;0.75;81;4.050;https://rskrf.ru//goods/vino-tamanskogo-poluostrova-monosortovye-vina-tsitronnyy-magaracha-tikhoe-sukhoe-beloe/
90;"
                        Виорика Мускатная Моносортовые вина. сухое белое. ЗГУ «Кубань. Таманский полуостров»                      ";Белое;4600068039859;Вино Таманского полуострова;;2019;Без указания года;Сухое;Белое;159;0.75;78.88;3.944;https://rskrf.ru//goods/vino-tamanskogo-poluostrova-monosortovye-vina-viorika-muskatnaya-vino-zgu-sukhoe-beloe/
91;"
                        Вино Таманского полуострова. моносортовые вина. сухое белое. ЗГУ                      ";Белое;4600068039644;Вино Таманского полуострова;;2019;Без указания года;Сухое;Белое;159;0.75;76.46;3.823;https://rskrf.ru//goods/vino-tamanskogo-poluostrova-monosortovye-vina-sukhoe-beloe-zgu-/
92;Губернаторское Голубок. тихое купажное сухое красное 2018;Красное;4605899002799;Винодельня ВедерниковЪ;;2019;2018;Сухое;Красное;699;0.75;78.1;3.906;https://rskrf.ru//goods/vinodelnya-vedernikov-gubernatorskoe-golubok-tikhoe-kupazhnoe-sukhoe-krasnoe-2018/
93;Сибирьковый. тихое сортовое сухое белое 2017;Белое;4605899001679;Винодельня ВедерниковЪ;;2019;2017;Сухое;Белое;725;0.75;75.67;3.784;https://rskrf.ru//goods/sibirkovyy-tikhoe-sortovoe-sukhoe-beloe-2017/
