id;name;wine_type;barcode;brand;company;research_year;vintage;sugar;color;price;price_for;rating_gost;rating;url
742;"
                        Цимлянское вино игристое полусладкое розовое                     ";Игристое;4600735003800;Цимлянские вина;"ОАО ""Цимлянские вина""";2020;Без указания года;Полусладкое;Розовое;394;0.75;76.5;3.825;https://rskrf.ru//goods/tsimlyanskoe-vino-igristoe-polusladkoe-rozovoe-/
743;"
                        Цимлянское вино игристое полусладкое белое                     ";Игристое;4600735005071;Цимлянские вина;"ОАО ""Цимлянские вина""";2020;Без указания года;Полусладкое;Белое;394;0.75;75.2;3.760;https://rskrf.ru//goods/tsimlyanskoe-vino-igristoe-polusladkoe-beloe-/
744;Красностоп 2016;Красное;4620002631017;Шато Ле Гран Восток;АВРОРА ОАО;2018;2016;Сухое;Красное;490;0.75;85.57;4.279;https://rskrf.ru//goods/shato-le-gran-vostok-krasnostop/
745;Каберне Совиньон  2015;Красное;4620002631000;Шато Ле Гран Восток;АВРОРА ОАО;2018;2015;Сухое;Красное;490;0.75;78.85;3.943;https://rskrf.ru//goods/shato-le-gran-vostok-kaberne-sovinon/
746;Совиньон Блан 2015;Белое;4620002630997;Шато Ле Гран Восток;АВРОРА ОАО;2018;2015;Сухое;Белое;585;0.75;78.36;3.918;https://rskrf.ru//goods/shato-le-gran-vostok-sovinon-blan/
747;Мерло 2015;Красное;4610021440066;Эльбузд;ЭЛЬБУЗД ООО ДВХ;2018;2015;Сухое;Красное;585;0.75;82.33;4.117;https://rskrf.ru//goods/vino-stolovoe-sukhoe-krasnoe-elbuzd-merlo-urozhay-2015-g/
748;"
                        Винодельня «Юбилейная» (полусухое розовое)                     ";Игристое;4630017482764;Винодельня Юбилейная;"ООО Винодельня ""Юбилейная""";2018;Без указания года;Полусухое;Розовое;518;0.75;83.2;4.160;https://rskrf.ru//goods/rossiyskoy-shampanskoe-yubileynoe-igristoe-vino-s-zashchishchennym-geograficheskim-ukazaniem-kuban-p/
749;"
                        Винодельня «Юбилейная» (полусладкое белое)                     ";Игристое;4630017482757;Винодельня Юбилейная;"ООО Винодельня ""Юбилейная""";2018;Без указания года;Полусладкое;Белое;298;0.75;78.88;3.944;https://rskrf.ru//goods/igristoe-vino-s-zashchishchennym-geograficheskim-ukazaniem-kuban-polusladkoe-beloe-rossiyskoe-shampa/
750;Российское шампанское. Юбилейное. вино брют белое с ЗГУ «Кубань»  2017;Игристое;4630017482740;Винодельня Юбилейная;;2019;2017;Брют;Белое;298;0.75;77.6;3.880;https://rskrf.ru//goods/rossiyskoe-shampanskoe-yubileynoe-vino-bryut-beloe-s-zgu-kuban-2017/
751;Тирамба. Мерло-Каберне 2016;Красное;4600068038258;Южная винная компания;"АО МПБК ""ОЧАКОВО""";2018;2016;Сухое;Красное;900;0.75;84.27;4.214;https://rskrf.ru//goods/vino-geograficheskogo-naimenovaniya-vyderzhannoe-sukhoe-krasnoe-urozhaya-2016-goda-tiramba-tamani-ki/
