N;name;wine_type;barcode;brand;company;research_year;vintage;sugar;color;price;price_for;rating_gost;rating;url
28;Вино игристое белое полусладкое, ЗГУ «Кубань. Таманский полуостров» ;Игристое;4607062864388;Шато Тамань;;2019;Без указания года;Полусладкое;Белое;198;075;82.79;4.1395;https://rskrf.ru//goods/vino-igristoe-beloe-polusladkoe-zgu-kuban-tamanskiy-poluostrov-/
29;Молодое игристое белое сухое вино, ЗГУ «Кубань. Таманский полуостров» ;Игристое;4606285009088;Анжелика Варум;;2019;Без указания года;Сухое;Белое;400;075;82.77;4.1385;https://rskrf.ru//goods/molodoe-igristoe-beloe-sukhoe-vino-zgu-kuban-tamanskiy-poluostrov-/
30;Золотая Балка игристое полусладкое розовое. Вино с ЗГУ «Крым»  ;Игристое;4630017542154;Золотая Балка;"ООО ""Агрофимрма ""Золотая Балка""";2020;Без указания года;Полусладкое;Розовое;299;075;82.66;4.1330;https://rskrf.ru//goods/zolotaya-balka-igristoe-polusladkoe-rozovoe-vino-s-zgu-krym-/
31;Мысхако Flute игристое брют белое. Вино с ЗГУ «Кубань. Новороссийск» 2019;Игристое;4620036811003;Мысхако;"ООО ""Мысхако""";2020;2019;Брют;Белое;499;075;82.64;4.1320;https://rskrf.ru//goods/myskhako-flute-igristoe-bryut-beloe-vino-s-zgu-kuban-novorossiysk-2019/
32;Балаклава Chardonnay Brut игристое брют белое. Вино с ЗГУ «Крым»   ;Игристое;4630017541997;Балаклава;"ООО ""Агрофирма ""Золотая Балка""";2020;Без указания года;Брют;Белое;450;075;82.59;4.1295;https://rskrf.ru//goods/balaklava-chardonnay-brut-igristoe-bryut-beloe-vino-s-zgu-krym-/
33;Абрау-Дюрсо Victor Dravigny игристое выдержанное брют розовое «Премиум». Вино с ЗГУ «Кубань»  2017;Игристое;4607026341818;Абрау-Дюрсо;"ЗАО ""Абрау-Дюрсо""";2020;2017;Брют;Розовое;775;075;82.55;4.1275;https://rskrf.ru//goods/abrau-dyurso-victor-dravigny-igristoe-vyderzhannoe-bryut-rozovoe-premium-vino-s-zgu-kuban-2017/
34;Fanagoria Muscat Ottonel semisweet игристое полусладкое белое. Вино с ЗГУ «Кубань. Таманский полуостров»   ;Игристое;4603040012635;Fanagoria;"ОАО ""АПФ ""Фанагория"" Россия, 353540, Краснодарский край, Темрюкский район, п. Сенной, ул. Мира, 49";2020;Без указания года;Полусладкое;Белое;400;075;82.42;4.1210;https://rskrf.ru//goods/fanagoria-muscat-ottonel-semisweet-igristoe-polusladkoe-beloe-vino-s-zgu-kuban-tamanskiy-poluostrov-/
35;Moscato, вино игристое полусладкое розовое, ЗГУ «Крым» 2018;Игристое;4630017542512;ZB;;2019;2018;Полусладкое;Розовое;390;075;82.39;4.1195;https://rskrf.ru//goods/moscato-vino-igristoe-polusladkoe-rozovoe-zgu-krym-2018/
36;Мысхако Мускатное игристое полусухое белое. Вино с ЗГУ «Кубань. Новороссийск» 2019;Игристое;4620036810686;Мысхако;"ООО ""Мысхако""";2020;2019;Полусухое;Белое;299;075;82.36;4.1180;https://rskrf.ru//goods/myskhako-muskatnoe-igristoe-polusukhoe-beloe-vino-s-zgu-kuban-novorossiysk-2019/
37;Inkerman Sparkling Wine Brut. The Taste of Crimea. Вино игристое брют белое ;Игристое;4623721055089;Inkerman;"ООО ""Агрофирма ""Золотая Балка""";2020;Без указания года;Брют;Белое;349;075;82.33;4.1165;https://rskrf.ru//goods/inkerman-sparkling-wine-brut-the-taste-of-crimea-vino-igristoe-bryut-beloe-/
38;Коллекция игристых вин, брют ;Игристое;4623721055089;Inkerman;;2019;Без указания года;Брют;Белое;528;075;82.3;4.1150;https://rskrf.ru//goods/kollektsiya-igristykh-vin-bryut-/
39;Aristov Brut игристое брют белое. Вино с ЗГУ «Кубань. Таманский полуостров»  2019;Игристое;4607062863718;Аристов;"ООО ""Кубань-Вино""";2020;2019;Брют;Белое;491;075;82.29;4.1145;https://rskrf.ru//goods/aristov-brut-igristoe-bryut-beloe-vino-s-zgu-kuban-tamanskiy-poluostrov-2019/
40;ZB Wine Frizzante игристое жемчужное полусухое розовое. Вино с ЗГУ «Крым»  2019;Игристое;4630017542550;ZB Wine;"ООО ""Агрофимрма ""Золотая Балка""";2020;2019;Полусухое;Розовое;369;075;82.25;4.1125;https://rskrf.ru//goods/zb-wine-frizzante-igristoe-zhemchuzhnoe-polusukhoe-rozovoe-vino-s-zgu-krym-2019/
41;Балаклава Reserve Brut игристое выдержанное брют белое. Вино с ЗГУ «Крым»  2018;Игристое;4630017542055;Балаклава;"ООО ""Агрофирма ""Золотая Балка""";2020;2018;Брют;Белое;477;075;82.2;4.1100;https://rskrf.ru//goods/balaklava-reserve-brut-igristoe-vyderzhannoe-bryut-beloe-vino-s-zgu-krym-2018/
42;Blanc de Blancs, белое из белого, вино игристое брют выдержанное белое, ЗГУ «Кубань. Таманский полуостров» 2017;Игристое;4603040012574;Фанагория;;2019;2017;Брют;Белое;500;075;82.11;4.1055;https://rskrf.ru//goods/blanc-de-blancs-beloe-iz-belogo-vino-igristoe-bryut-vyderzhannoe-beloe-zgu-kuban-tamanskiy-poluostro/
43;Вино игристое брют белое, ЗГУ «Кубань. Таманский полуостров» ;Игристое;4607062863718;Аристов;;2019;Без указания года;Брют;Белое;249;075;82.01;4.1005;https://rskrf.ru//goods/vino-igristoe-bryut-beloe-zgu-kuban-tamanskiy-poluostrov-/
44;ZB Wine Moscato rose semisweet игристое полусладкое розовое. Вино с ЗГУ «Крым»  2019;Игристое;4630017542512;ZB Wine;"ООО ""Агрофимрма ""Золотая Балка""";2020;2019;Полусладкое;Розовое;369;075;82;4.1000;https://rskrf.ru//goods/zb-wine-moscato-rose-semisweet-igristoe-polusladkoe-rozovoe-vino-s-zgu-krym-2020/
