N;name;wine_type;barcode;brand;company;research_year;vintage;sugar;color;price;price_for;rating_gost;rating;url
0;Коллекция Grand Reserve Каберне качинское, вино выдержанное сухое красное географического наименования 2015;Красное;4623720891633;Inkerman;;2019;2015;Сухое;Красное;831;075;86.46;4.3230;https://rskrf.ru//goods/inkerman-kollektsiya-grand-reserve-kaberne-kachinskoe-vino-geograficheskogo-naimenovaniya-vyderzhann/
1;Alma Valley Red  2016;Красное;4660016611339;Alma Valley;ИНВЕСТ ПЛЮС ООО;2018;2016;Сухое;Красное;536;075;85.89;4.2945;https://rskrf.ru//goods/alma-valley-red-vino-s-zashchishchennym-geograficheskim-ukazaniem-krym-sukhoe-krasnoe-2016-god/
2;Русские сказки. «Жар-Птица» 2014;Красное;4620002630898;Русские Сказки - Раевское;ДЕЛЬТА КЛАБ ООО;2018;2014;Сухое;Красное;979;075;85.73;4.2865;https://rskrf.ru//goods/raevskoe-renessans-2014-vino-stolovoe-sukhoe-krasnoe-zhar-ptitsa/
3;Красностоп 2016;Красное;4620002631017;Шато Ле Гран Восток;АВРОРА ОАО;2018;2016;Сухое;Красное;490;075;85.57;4.2785;https://rskrf.ru//goods/shato-le-gran-vostok-krasnostop/
4;Автохтон. Саперави 2016;Красное;4603040011959;Фанагория;АПФ ФАНАГОРИЯ ОАО;2018;2016;Сухое;Красное;518;075;85.11;4.2555;https://rskrf.ru//goods/vino-zashchishchennogo-geograficheskogo-ukazaniya-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-avtokhto/
5;Пикник Вайн 2015;Красное;4660016610929;Alma Valley;ИНВЕСТ ПЛЮС ООО;2018;2015;Сухое;Красное;829;075;84.45;4.2225;https://rskrf.ru//goods/piknik-vayn-vino-s-zashchishchennym-geograficheskim-ukazaniem-krym-sukhoe-krasnoe-2015-god/
6;Аристов. Анчелотта 2017;Красное;4607062864630;Аристов;КУБАНЬ-ВИНО ООО;2018;2017;Сухое;Красное;348;075;84.29;4.2145;https://rskrf.ru//goods/vino-s-zashchishchennym-geograficheskim-ukazaniem-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-aristov-/
7;Тирамба. Мерло-Каберне 2016;Красное;4600068038258;Южная винная компания;"АО МПБК ""ОЧАКОВО""";2018;2016;Сухое;Красное;900;075;84.27;4.2135;https://rskrf.ru//goods/vino-geograficheskogo-naimenovaniya-vyderzhannoe-sukhoe-krasnoe-urozhaya-2016-goda-tiramba-tamani-ki/
8;Гастрономическое. Каберне-Мерло  2016;Красное;4607964860297;Новое Русское Вино;ДЕЛЬТА КЛАБ ООО;2018;2016;Сухое;Красное;277;075;84.22;4.2110;https://rskrf.ru//goods/gastronomicheskoe-karberne-merlo-sukhoe-krasnoe-/
9;Каберне Качинское 2015;Красное;4623721249204;Инкерман;ИЗМВ ООО;2018;2015;Сухое;Красное;699;075;84;4.2000;https://rskrf.ru//goods/vino-geograficheskogo-naimenovaniya-vyderzhannoe-sukhoe-krasnoe-kaberne-kachinskkoe-inkerman/
10;Вино защищенного наименования места происхождения «Сенной» сухое красное выдержанное «Крю Лермонт Саперави»  2019;Красное;4603040014295;Fanagoria;"ОАО ""АПФ ""ФАНАГОРИЯ""";2021;2019;Сухое;Красное;599;075;83.91;4.1955;https://rskrf.ru//goods/vino-zashchishchennogo-naimenovaniya-mesta-proiskhozhdeniya-sennoy-sukhoe-krasnoe-vyderzhannoe-kryu--7f5857/
11;Мерло Эльбузд, вино тихое сухое красное 2015;Красное;4610021440066;Долина Дона;;2019;2015;Сухое;Красное;650;075;83.9;4.1950;https://rskrf.ru//goods/dolina-dona-merlo-elbuzd-tikhoe-sukhoe-krasnoe/
12;Саперави-Каберне Совиньон «Баккал Су» ;Красное;4623721665646;Валерий Захарьин;ИНТЕРФИН ООО;2018;Без указания года;Сухое;Красное;743;075;83.78;4.1890;https://rskrf.ru//goods/vino-stolovoe-sukhoe-krasnoe-saperavi-kaberne-sovinon-serii-bakkal-su/
13;Каберне Совиньон, вино сухое красное, ЗГУ «Долина Дона»  2014;Красное;4630016400684;Вилла Звезда;;2019;2014;Сухое;Красное;500;075;83.67;4.1835;https://rskrf.ru//goods/villa-zvezda-kaberne-sovinon-vino-zgu-dolina-dona-sukhoe-krasnoe-2014/
14;Esse Каберне отборное вино столовое сухое красное  2018;Красное;4660017891495;Esse;"ООО ""ВК САТЕРА""";2020;2018;Сухое;Красное;427;075;83.66;4.1830;https://rskrf.ru//goods/esse-kaberne-otbornoe-vino-stolovoe-sukhoe-krasnoe-2018/
15;Каберне-Мерло. Авторское вино 2016;Красное;4603040012253;Фанагория;АПФ ФАНАГОРИЯ ОАО;2018;2016;Сухое;Красное;449;075;83.6;4.1800;https://rskrf.ru//goods/vino-s-zashchishchennym-geograficheskim-ukazaniem-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-kaberne--502c5f/
16;Каберне Совиньон, вино столовое красное сухое 2016;Красное;4610017110249;Усадьба Перовских;;2019;2016;Сухое;Красное;447;075;83.45;4.1725;https://rskrf.ru//goods/usadba-perovskikh-kaberne-sovinon-vino-stolovoe-krasnoe-sukhoe-2016/
17;Cuvee. Вино с ЗГУ «Крым». Сухое красное Каберне Совиньон, Мерло, Саперави  2017;Красное;4660016611728;Alma Valley;"ООО ""Инвест Плюс""";2020;2017;Сухое;Красное;520;075;83.43;4.1715;https://rskrf.ru//goods/av-cuvee-vino-s-zgu-krym-sukhoe-krasnoe-kaberne-sovinon-merlo-saperavi-2017/
18;Вино с защищенным географическим указанием «Крым» сухое красное «Пино Нуар Кефесия Мерло» АВ КЮВЕ ;Красное;4660016611773;АВ КЮВЕ;"ООО ""ИНВЕСТ ПЛЮС""";2021;;Сухое;Красное;689;075;83.43;4.1715;https://rskrf.ru//goods/vino-s-zashchishchennym-geograficheskim-ukazaniem-krym-sukhoe-krasnoe-pino-nuar-kefesiya-merlo-av-kyu/
19;Мысхако Кюве сухое красное Сира Марселан. Вино с ЗГУ «Кубань. Новороссийск»  2018;Красное;4620036810099;Мысхако;"ООО ""Мысхако""";2020;2018;Сухое;Красное;455;075;83.41;4.1705;https://rskrf.ru//goods/myskhako-kyuve-sukhoe-krasnoe-sira-marselan-vino-s-zgu-kuban-novorossiysk-2018/
20;F-Style Каберне, вино сухое красное, ЗГУ «Кубань. Таманский полуостров» 2017;Красное;4603040011843;Фанагория;;2019;2017;Сухое;Красное;365;075;83.2;4.1600;https://rskrf.ru//goods/fanagoriya-f-style-kaberne-vino-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2017-52c15a/
21;Fanagoria Автохтон Саперави. Вино с ЗГУ «Кубань. Таманский полуостров». Сухое красное  2018;Красное;4603040011959;Фанагория;"ОАО ""АПФ ""Фанагория""";2020;2018;Сухое;Красное;520;075;83;4.1500;https://rskrf.ru//goods/fanagoria-avtokhton-saperavi-vino-s-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2018/
22;Fanagoria Авторское вино Каберне-Цимлянский черный. Вино с ЗГУ «Кубань. Таманский полуостров». Сухое красное  2019;Красное;4603040012277;Фанагория;"ОАО ""АПФ ""Фанагория""";2020;2019;Сухое;Красное;299;075;82.99;4.1495;https://rskrf.ru//goods/fanagoria-avtorskoe-vino-kaberne-tsimlyanskiy-chernyy-vino-s-zgu-kuban-tamanskiy-poluostrov-sukhoe-k/
23;Вино с защищенным географическим указанием «Кубань» сухое красное «Пти Вердо Ренессанс» 2019;Красное;4620036811478;Raevsky winery;"ООО ""МЫСХАКО""";2021;2019;Сухое;Красное;995;075;82.91;4.1455;https://rskrf.ru//goods/vino-s-zashchishchennym-geograficheskim-ukazaniem-kuban-sukhoe-krasnoe-pti-verdo-renessans-2019/
24;Саперави Классик  2017;Красное;4630017483136;Винодельня Юбилейная;"ООО Винодельня ""Юбилейная""";2018;2017;Сухое;Красное;225;075;82.83;4.1415;https://rskrf.ru//goods/klassik-yubileynoy-vino-s-zashchishchennym-geograficheskim-ukazaniem-kuban-tamanskiy-poluostrov-sukh-86d6a3/
25;Усадьба Мысхако Red Blend вино столовое сухое красное  2017;Красное;4699301417073;Усадьба Мысхако;"ООО АФ ""Саук-Дере""";2020;2017;Сухое;Красное;423;075;82.82;4.1410;https://rskrf.ru//goods/usadba-myskhako-red-blend-vino-stolovoe-sukhoe-krasnoe-2017/
26;Reserve Golubitskoe estate Pinot Noir. Вино с ЗГУ «Кубань.Таманский полуостров». Сухое красное «Пино Нуар»  2018;Красное;4640026050502;Golubitskoe Estate;"ООО ""Поместье Голубицкое"", Россия, 353521, Краснодарский край, Темрюкский район, ст. Голубицкая, ул.";2020;2018;Сухое;Красное;839;075;82.8;4.1400;https://rskrf.ru//goods/reserve-golubitskoe-estate-pinot-noir-vino-s-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-pino-nuar/
27;Цимлянский Черный. Номерной резерв 2016;Красное;4603040012147;Фанагория;АПФ ФАНАГОРИЯ ОАО;2018;2016;Сухое;Красное;357;075;82.78;4.1390;https://rskrf.ru//goods/vino-s-zashchishchennym-geograficheskim-ukazaniem-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-tsimlyan/
28;Каберне Совиньон Тамани 2014;Красное;4600068027801;Южная винная компания;"АО МПБК ""ОЧАКОВО""";2018;2014;Сухое;Красное;493;075;82.72;4.1360;https://rskrf.ru//goods/vino-geograficheskogo-naimenovaniya-vyderzhannoe-sukhoe-krasnoe-kaberne-sovinon-tamani-urozhay-2014/
29;Саперави Тамани. Reserve. Вино с ЗГУ «Кубань. Таманский полуостров». Выдержанное сухое красное 2017;Красное;4600068043641;Саперави Тамани;"АО МПБК ""ОЧАКОВО""";2020;2017;Сухое;Красное;493;075;82.7;4.1350;https://rskrf.ru//goods/saperavi-tamani-reserve-vino-s-zgu-kuban-tamanskiy-poluostrov-vyderzhannoe-sukhoe-krasnoe-2017/
30;Fanagoria F-Style Cabernet. Вино с ЗГУ «Кубань.Таманский полуостров». Сухое красное  2018;Красное;4603040011843;Фанагория;"ОАО ""АПФ ""Фанагория"" Россия, 353540, Краснодарский край, Темрюкский район, п. Сенной, ул. Мира, 49";2020;2018;Сухое;Красное;386;075;82.66;4.1330;https://rskrf.ru//goods/fanagoria-f-style-cabernet-vino-s-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2018/
31;Golubitskoe Estate Reserve Cabernet Sauvignon. Вино с ЗГУ «Кубань.Таманский полуостров». Выдержанное сухое красное  2018;Красное;4640026050489;Golubitskoe Estate;"ООО ""Поместье Голубицкое"", Россия, 353521, Краснодарский край, Темрюкский район, ст. Голубицкая, ул.";2020;2018;Сухое;Красное;839;075;82.65;4.1325;https://rskrf.ru//goods/golubitskoe-estate-reserve-cabernet-sauvignon-vino-s-zgu-kuban-tamanskiy-poluostrov-vyderzhannoe-sukh/
32;F-Style Fanagoria Саперави. Вино с ЗГУ «Кубань.Таманский полуостров». Сухое красное  2019;Красное;4603040011867;Фанагория;"ОАО ""АПФ ""Фанагория"" Россия, 353540, Краснодарский край, Темрюкский район, п. Сенной, ул. Мира, 49";2020;2019;Сухое;Красное;425;075;82.65;4.1325;https://rskrf.ru//goods/f-style-fanagoria-saperavi-vino-s-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2019/
33;Вино с защищенным географическим указанием «Кубань» сухое красное «Темпранильо Ренессанс» 2019;Красное;4620036811454;Raevsky winery;"ООО ""МЫСХАКО""";2021;2019;Сухое;Красное;995;075;82.64;4.1320;https://rskrf.ru//goods/vino-s-zashchishchennym-geograficheskim-ukazaniem-kuban-sukhoe-krasnoe-tempranilo-renessans-2019/
34;Мысхако Кюве сухое красное Мерло Каберне Фран. Вино с ЗГУ «Кубань. Новороссийск»  2018;Красное;4620036810075;Мысхако;"ООО ""Мысхако""";2020;2018;Сухое;Красное;390;075;82.64;4.1320;https://rskrf.ru//goods/myskhako-kyuve-sukhoe-krasnoe-merlo-kaberne-fran-vino-s-zgu-kuban-novorossiysk-2018/
35;Каберне Совиньон Винтаж  ;Красное;4630017484904;Винтаж;"ООО Винодельня ""Юбилейная""";2018;Без указания года;Сухое;Красное;270;075;82.61;4.1305;https://rskrf.ru//goods/vino-s-zashchishchennym-geograficheskim-ukazaniem-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-kaberne--fc3a76/
36;Fanagoria Cru Lermont Cabernet Sauvignon. Вино защищенного наименования места происхождения «Сенной». Сухое красное выдержанное  2016;Красное;4603040014264;Фанагория;"ОАО ""АПФ ""Фанагория"" Россия, 353540, Краснодарский край, Темрюкский район, п. Сенной, ул. Мира, 49";2020;2016;Сухое;Красное;459;075;82.6;4.1300;https://rskrf.ru//goods/fanagoria-cru-lermont-cabernet-sauvignon-vino-zashchishchennogo-naimenovaniya-mesta-proiskhozhdeniya/
37;Классическая коллекция Мерло Каберне, вино столовое сухое красное ;Красное;4623720857585;Inkerman;;2019;Без указания года;Сухое;Красное;356;075;82.46;4.1230;https://rskrf.ru//goods/inkerman-klassicheskaya-kollektsiya-merlo-kaberne-vino-stolovoe-sukhoe-krasnoe/
38;Вино с защищенным географическим указанием «Кубань. Новороссийск» сухое красное «Каберне Фран» 2019;Красное;4620036810785;Мысхако;"ООО ""МЫСХАКО""";2021;2019;Сухое;Красное;455;075;82.45;4.1225;https://rskrf.ru//goods/vino-s-zashchishchennym-geograficheskim-ukazaniem-kuban-novorossiysk-sukhoe-krasnoe-kaberne-fran-201/
39;Вино с защищенным географическим указанием «Крым» сухое красное «Каберне Совиньон Мерло Саперави» АВ КЮВЕ ;Красное;4660016611728;АВ КЮВЕ;"ООО ""ИНВЕСТ ПЛЮС""";2021;;Сухое;Красное;729;075;82.43;4.1215;https://rskrf.ru//goods/vino-s-zashchishchennym-geograficheskim-ukazaniem-krym-sukhoe-krasnoe-kaberne-sovinon-merlo-saperavi/
40;Chateau Tamagne Cabernet. Вино с ЗГУ «Кубань. Таманский полуостров». Сухое красное  2019;Красное;4607062863701;Chateau Tamagne;"ООО ""Кубань-Вино""";2020;2019;Сухое;Красное;405;075;82.42;4.1210;https://rskrf.ru//goods/chateau-tamagne-cabernet-vino-s-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2019/
41;Fanagoria Автохтон Цимлянский черный. Вино с ЗГУ «Кубань. Таманский полуостров». Сухое красное 2019;Красное;4603040011942;Фанагория;"ОАО ""АПФ ""Фанагория""";2020;2019;Сухое;Красное;530;075;82.41;4.1205;https://rskrf.ru//goods/fanagoria-avtokhton-tsimlyanskiy-chernyy-vino-s-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2019/
42;Кефесия Cuvee. Вино с ЗГУ «Крым». Сухое красное  2017;Красное;4660016611773;Alma Valley;"ООО ""Инвест Плюс""";2020;2017;Сухое;Красное;620;075;82.37;4.1185;https://rskrf.ru//goods/kefesiya-cuvee-vino-s-zgu-krym-sukhoe-krasnoe-2017/
43;Мерло 2015;Красное;4610021440066;Эльбузд;ЭЛЬБУЗД ООО ДВХ;2018;2015;Сухое;Красное;585;075;82.33;4.1165;https://rskrf.ru//goods/vino-stolovoe-sukhoe-krasnoe-elbuzd-merlo-urozhay-2015-g/
44;Ред бленд, вино тихое красное сухое, ЗГУ «Кубань» 2015;Красное;4699301416168;Усадьба Мысхако;;2019;2015;Сухое;Красное;438;075;82.3;4.1150;https://rskrf.ru//goods/usadba-myskhako-red-blend-vino-zgu-kuban-tikhoe-krasnoe-sukhoe/
45;Golubitskoe Estate Cabernet Sauvignon. Вино с ЗГУ «Кубань.Таманский полуостров». Сухое красное  2018;Красное;4640026050557;Golubitskoe Estate;"ООО ""Поместье Голубицкое"", Россия, 353521, Краснодарский край, Темрюкский район, ст. Голубицкая, ул.";2020;2018;Сухое;Красное;679;075;82.29;4.1145;https://rskrf.ru//goods/golubitskoe-estate-cabernet-sauvignon-vino-s-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2018/
46;Chateau Tamagne. Красностоп 2017;Красное;4607062863961;Шато Тамань;КУБАНЬ-ВИНО ООО;2018;2017;Сухое;Красное;434;075;82.29;4.1145;https://rskrf.ru//goods/vino-s-zashchishchennym-geograficheskim-ukazaniem-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-shato-ta-7832b2/
47;Вино с защищенным географическим указанием «Кубань» сухое красное «Карменер Ренессанс» 2019;Красное;4620036811461;Raevsky winery;"ООО ""МЫСХАКО""";2021;2019;Сухое;Красное;995;075;82.27;4.1135;https://rskrf.ru//goods/vino-s-zashchishchennym-geograficheskim-ukazaniem-kuban-sukhoe-krasnoe-karmener-renessans-2019/
48;Вино с защищенным географическим указанием «Кубань. Новороссийск» сухое красное «Марселан» 2019;Красное;4620036810792;Мысхако;"ООО ""МЫСХАКО""";2021;2019;Сухое;Красное;428;075;82.27;4.1135;https://rskrf.ru//goods/vino-s-zashchishchennym-geograficheskim-ukazaniem-kuban-novorossiysk-sukhoe-krasnoe-marselan-2019/
49;Fanagoria. Cru Lermont Merlot. Вино защищенного наименования места происхождения «Сенной». Сухое красное выдержанное 2017;Красное;4603040014288;Фанагория;"ОАО ""АПФ ""Фанагория"" Россия, 353540, Краснодарский край, Темрюкский район, п. Сенной, ул. Мира, 49";2020;2017;Сухое;Красное;690;075;82.24;4.1120;https://rskrf.ru//goods/fanagoria-cru-lermont-merlot-vino-zashchishchennogo-naimenovaniya-mesta-proiskhozhdeniya-sennoy-sukh/
50;F-Style Саперави, вино сухое красное, ЗГУ «Кубань. Таманский полуостров»  2017;Красное;4603040011867;Фанагория;;2019;2017;Сухое;Красное;385;075;82.22;4.1110;https://rskrf.ru//goods/fanagoriya-f-style-saperavi-vino-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2017/
51;Автохтон Красностоп, вино сухое красное, ЗГУ «Кубань. Таманский полуостров» 2017;Красное;4603040011935;Фанагория;;2019;2017;Сухое;Красное;550;075;82.11;4.1055;https://rskrf.ru//goods/fanagoriya-avtokhton-krasnostop-vino-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2017/
52;Винодельня Покровская Каберне Совиньон. Вино столовое сухое красное  2019;Красное;4627120690216;Винодельня Покровская;"ООО ""Дубовский ВИНОград""";2020;2019;Сухое;Красное;540;075;82.1;4.1050;https://rskrf.ru//goods/vinodelnya-pokrovskaya-kaberne-sovinon-vino-stolovoe-sukhoe-krasnoe-2019/
53;Цимлянский Черный 2017;Красное;4607062866665;Кубань-Вино;КУБАНЬ-ВИНО ООО;2018;2017;Сухое;Красное;369;075;82.1;4.1050;https://rskrf.ru//goods/vino-s-zashchishchennym-geograficheskim-ukazaniem-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-tsimlyan-a30a24/
54;Chateau Tamagne Каберне- Мерло. Вино с ЗГУ «Кубань. Таманский полуостров». Сухое красное  2019;Красное;4607062866016;Chateau Tamagne;"ООО ""Кубань-Вино""";2020;2019;Сухое;Красное;219;075;82.09;4.1045;https://rskrf.ru//goods/chateau-tamagne-kaberne-merlo-vino-s-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2019/
55;Ангелы и демоны Каберне красное. Вино с ЗГУ «Кубань. Таманский полуостров». Сухое красное  2019;Красное;4607062865163;Ангелы и демоны;"ООО ""Кубань-Вино""";2020;2019;Сухое;Красное;330;075;82.07;4.1035;https://rskrf.ru//goods/angely-i-demony-kaberne-krasnoe-vino-s-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2019/
56;Chateau Pinot Гравитация Каберне Фран Каберне Совиньон. Вино с ЗГУ «Кубань. Новороссийск». Сухое красное  2019;Красное;4680074270293;Chateau Pinot;"ООО ""Винодельня Шато Пино""";2020;2019;Сухое;Красное;450;075;82;4.1000;https://rskrf.ru//goods/chateau-pinot-gravitatsiya-kaberne-fran-kaberne-sovinon-vino-s-zgu-kuban-novorossiysk-sukhoe-krasnoe/
57;Chateau Tamagne Cabernet. Вино с защищенным наименованием места происхождения «Южный берег Тамани». Выдержанное сухое красное 2017;Красное;4630037250664;Chateau Tamagne;"ООО ""Кубань-Вино"" Россия, 353531, Краснодарский край, Темрюкский район, ст. Старотитаровская, ул. За";2020;2017;Сухое;Красное;395;075;82;4.1000;https://rskrf.ru//goods/chateau-tamagne-cabernet-vino-s-zashchishchennym-naimenovaniem-mesta-proiskhozhdeniya-yuzhnyy-bereg-/
58;Aristov Ancelotta. Вино с ЗГУ «Кубань. Таманский полуостров». Сухое красное  2019;Красное;4607062864630;Аристов;"ООО ""Кубань-Вино""";2020;2019;Сухое;Красное;327;075;82;4.1000;https://rskrf.ru//goods/aristov-ancelotta-vino-s-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2019/
59;Авторское вино Fanagoria Каберне-Саперави. Вино с ЗГУ «Кубань. Таманский полуостров». Сухое красное  2019;Красное;4603040012260;Фанагория;"ОАО ""АПФ ""Фанагория"" Россия, 353540, Краснодарский край, Темрюкский район, п. Сенной, ул. Мира, 49";2020;2019;Сухое;Красное;369;075;82;4.1000;https://rskrf.ru//goods/avtorskoe-vino-fanagoria-kaberne-saperavi-vino-s-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2019/
60;Саперави Тамани, вино сухое красное, ЗГУ «Кубань. Таманский полуостров» 2018;Красное;4607062863695;Шато Тамань;;2019;2018;Сухое;Красное;361;075;82;4.1000;https://rskrf.ru//goods/shato-taman-saperavi-tamani-vino-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe/
61;Саперави, вино тихое сухое красное 2017;Красное;4600068041579;Южная винная компания;;2019;2017;Сухое;Красное;159;075;82;4.1000;https://rskrf.ru//goods/vino-tamanskogo-poluostrova-monosortovye-vina-saperavi-tikhoe-sukhoe-krasnoe/
62;Автохтон Саперави, вино сухое красное, ЗГУ «Кубань. Таманский полуостров» 2018;Красное;4603040011959;Фанагория;;2019;2018;Сухое;Красное;470;075;81.91;4.0955;https://rskrf.ru//goods/fanagoriya-avtokhton-saperavi-vino-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2018/
63;Каберне отборное Esse 2016;Красное;4660017891495;ЕССЕ;ВК САТЕРА ООО;2018;2016;Сухое;Красное;500;075;81.86;4.0930;https://rskrf.ru//goods/kaberne-otbornoe-tz-esse-esse-vino-stolovoe-sukhoe-krasnoe/
64;Вино с защищенным географическим указанием «Кубань. Новороссийск» сухое красное «Черное из черного» 2020;Красное;4620036811164;Мысхако;"ООО ""МЫСХАКО""";2021;2020;Сухое;Красное;950;075;81.82;4.0910;https://rskrf.ru//goods/vino-s-zashchishchennym-geograficheskim-ukazaniem-kuban-novorossiysk-sukhoe-krasnoe-chernoe-iz-chern/
65;Автохтон. Цимлянский Черный 2016;Красное;4603040011942;Фанагория;АПФ ФАНАГОРИЯ ОАО;2018;2016;Сухое;Красное;549;075;81.79;4.0895;https://rskrf.ru//goods/vino-s-zashchishchennym-geograficheskim-ukazaniem-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-avtokhto/
66;Мерло Винтаж ;Красное;4630017484898;Винодельня Юбилейная;"ООО Винодельня ""Юбилейная""";2018;Без указания года;Полусладкое;Красное;270;075;81.77;4.0885;https://rskrf.ru//goods/vino-s-zashchishchennym-geograficheskim-ukazaniem-kuban-tamanskiy-poluostrov-polusladkoe-krasnoe-mer/
67;Массандра Саперави. Вино с ЗГУ «Крым». Полусладкое красное  2019;Красное;4680017725026;Массандра;"ГУП Республики Крым ""Производственно-аграрное объединение ""Массандра""";2020;2019;Полусладкое;Красное;265;075;81.73;4.0865;https://rskrf.ru//goods/massandra-saperavi-vino-s-zgu-krym-polusladkoe-krasnoe-2019/
68;Вино с защищенным географическим указанием «Кубань» сухое красное «Семисам» Шумринка  2017;Красное;4651115990104;Семисам;"ООО ""ШУМРИНКА""";2021;2017;Сухое;Красное;580;075;81.69;4.0845;https://rskrf.ru//goods/vino-s-zashchishchennym-geograficheskim-ukazaniem-kuban-sukhoe-krasnoe-semisam-shumrinka-2017/
69; Абрау Купаж темный. Вино столовое сухое красное ;Красное;4605899002720;Абрау;"ООО ""Лоза""";2020;Без указания года;Сухое;Красное;352;075;81.66;4.0830;https://rskrf.ru//goods/abrau-kupazh-temnyy-vino-stolovoe-sukhoe-krasnoe-/
70;Кюве Сира Марселан, вино сухое красное, ЗГУ «Кубань. Новороссийск» 2018;Красное;4620036810099;Мысхако;;2019;2018;Сухое;Красное;414;075;81.66;4.0830;https://rskrf.ru//goods/myskhako-kyuve-sira-marselan-vino-zgu-kuban-novorossiysk-sukhoe-krasnoe-2018/
71;Fanagoria F-Style Merlot. Вино с ЗГУ «Кубань. Таманский полуостров». Сухое красное  2018;Красное;4603040011850;Фанагория;"ОАО ""АПФ ""Фанагория"" Россия, 353540, Краснодарский край, Темрюкский район, п. Сенной, ул. Мира, 49";2020;2018;Сухое;Красное;365;075;81.64;4.0820;https://rskrf.ru//goods/fanagoria-f-style-merlot-vino-s-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2018/
72;Вино защищенного наименования места происхождения «Сенной» сухое красное выдержанное «Крю Лермонт Каберне-Совиньон»  2017;Красное;4603040014264;Fanagoria;"ОАО ""АПФ ""ФАНАГОРИЯ""";2021;2017;Сухое;Красное;599;075;81.6;4.0800;https://rskrf.ru//goods/vino-zashchishchennogo-naimenovaniya-mesta-proiskhozhdeniya-sennoy-sukhoe-krasnoe-vyderzhannoe-kryu--511e22/
73;Каберне Фран. Русские сказки. «Садко» 2015;Красное;4699301416588;Русские Сказки - Раевское;ДЕЛЬТА КЛАБ ООО;2018;2015;Сухое;Красное;690;075;81.6;4.0800;https://rskrf.ru//goods/kaberne-fran-2015-vino-stolovoe-sukhoe-krasnoe-sadko/
74;Мерло ;Красное;4699301415901;Саук-Дере;ДЕЛЬТА КЛАБ ООО;2018;Без указания года;Сухое;Красное;300;075;81.6;4.0800;https://rskrf.ru//goods/vino-geograficheskogo-naimenovaniya-merlo-sauk-dere-sukhoe-krasnoe/
75;Саук-Дере Резерв красное 2016;Красное;4699301416694;Саук-Дере;ДЕЛЬТА КЛАБ ООО;2018;2016;Сухое;Красное;400;075;81.6;4.0800;https://rskrf.ru//goods/vino-geograficheskogo-naimenovaniya-sukhoe-krasnoe-sauk-dere-rezerv-krasnoe-2016/
76;Chateau Tamagne Селект Руж 2017;Красное;4607062864562;Шато Тамань;КУБАНЬ-ВИНО ООО;2018;2017;Сухое;Красное;470;075;81.6;4.0800;https://rskrf.ru//goods/vino-s-zashchishchennym-geograficheskim-ukazaniem-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-shato-ta-ac4e1a/
77;Мерло, вино сухое красное, ЗГУ «Долина Дона»  2014;Красное;4630016400721;Вилла Звезда;;2019;2014;Сухое;Красное;355;075;81.59;4.0795;https://rskrf.ru//goods/villa-zvezda-merlo-vino-zgu-dolina-dona-sukhoe-krasnoe-2014/
78;Fanagoria. Авторское вино. Саперави-Красностоп. Вино с ЗГУ «Кубань.Таманский полуостров». Сухое красное 2019;Красное;4603040012291;Фанагория;"ОАО ""АПФ ""Фанагория"" Россия, 353540, Краснодарский край, Темрюкский район, п. Сенной, ул. Мира, 49";2020;2019;Сухое;Красное;420;075;81.59;4.0795;https://rskrf.ru//goods/fanagoria-avtorskoe-vino-saperavi-krasnostop-vino-s-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-20/
79;Вино с защищенным географическим указанием «Кубань» сухое красное «Саук-Дере Авторское» 2019;Красное;4607191010786;Саук-Дере;"ООО АФ ""САУК-ДЕРЕ""";2021;2019;Сухое;Красное;348;075;81.58;4.0790;https://rskrf.ru//goods/vino-s-zashchishchennym-geograficheskim-ukazaniem-kuban-sukhoe-krasnoe-sauk-dere-avtorskoe-2019/
